ew	mc	pps
0.0007972640153	0.0005022146355	0.00236286397
0.004138388315	0.01664913724	0.004577270004
0.01064160203	0.004934995809	0.003478233891
0.002704827167	0.00705205526	0.01213996923
0.0005828140961	0.00206148918	0.003005654769
0.003025093881	0.001008453036	0.00244489336
0.001086448693	0.001554536996	0.003913624046
0.001635148341	0.0007956976386	0.002972111015
0.00119862801	0.0004539514325	0.002603117685
0.002970679239	0.001157582879	0.001090947762
0.00394058824	0.008968864769	0.007612340857
0.0004935394678	0.001203856881	0.004604484553
0.001602511433	0.001561374402	0.01293214574
0.01187892315	0.008093362394	0.007018840154
0.02977038261	0.01312993938	0.01161655296
0.003877548536	0.009327561073	0.0006561975209
0.002263042846	0.01879752562	0.01169802154
0.0004518498694	0.002841432422	0.003939752377
0.0005253318353	0.0006998827386	0.002958407392
0.0005451847997	0.0004402658573	0.003933161072
0.0004840900438	0.0001508682467	0.001787705226
0.0007740690197	0.0007740690197	0.0007740690197
0.0001284393676	0.001094585354	0.003431379586
0.004084727679	0.004877651384	0.001053269314
0.001935740677	0.001935740677	0.004571259817
0.003692916293	0.001326786558	0.003763210228
0.01082333161	0.01423469003	0.003484213606
0.001125176232	0.003287629906	0.00250627575
0.01321429529	0.005092421157	0.0005215436823
0.005796019738	0.007454772858	0.00958355369
0.00750873244	0.008821000079	0.01160975783
0.000909669613	0.0001810198067	0.004167298492
0.0004036815675	0.001129485184	0.004524171734
0.02985856003	0.01341145044	0.01319310433
0.02366612893	0.01342249306	0.01194530149
0.01372165322	0.00377214193	0.003890943611
0.0006716886785	0.0008299753949	0.004208520526
0.002023602995	0.005253900916	0.006213935437
0.001963792723	0.001066294378	0.002082957866
0.002788465211	0.001229828251	0.00325879258
0.0008161535269	0.001523165745	0.003369820202
0.001276781128	1.075934671e-05	0.0001152477445
0.001765451436	0.0001272000151	9.907625795e-05
0.003634817181	0.0009399751518	0.007421903889
0.001354852926	0.0007321263671	0.0002797092546
