Node	baseline exact	exact	ew
1220	0.03706273831	0.03606499548	0.03053127418
1221	0.01134526064	0.03115470188	0.02228252712
1222	0.05639201977	0.05296777146	1.654543751
1223	0.04050591549	0.05107626823	0.05066652382
1224	0.01530518291	0.01595162087	0.03945330879
1225	0.03336893948	0.04903877129	0.3566553465
1226	0.06864548883	0.06213064081	0.2634866511
1227	0.07804533443	0.07766529	0.08046587886
1228	0.08117920529	0.0823364924	0.08739869803
1229	0.1003556857	0.09671052186	0.102427468
1230	0.09593533185	0.09375247499	0.1000532197
1231	0.09639578959	0.09705326379	0.1009244557
1232	0.0720076807	0.07751336058	0.03825412014
1233	0.06010472113	0.04595053728	0.2710441752
1234	0.03747402315	0.04136135443	0.04858073593
1235	0.05751034267	0.05600842021	0.6453139183
1236	0.02577128072	0.03355772292	0.6052092616
1237	0.03263990393	0.03325949099	0.1368296015
1238	0.1105790562	0.1087998572	0.1084397597
1239	0.01597668109	0.01569781109	0
1240	0.0809000005	0.07965258256	0.08176971582
1241	0.09963386056	0.1020239694	0.1068110705
1242	0.07685766922	0.08145639678	0.08403097885
1243	0.1080763167	0.1070691168	0.1113482931
1244	0.09169993987	0.08246689414	0.08893630524
1245	0.1010979408	0.1010656497	0.1036266373
1246	0.0001457765668	0.0001544050863	2
1247	0.0002111716621	0.0001907356948	1.5
1248	0.06405558471	0.06679225177	0.3663068892
1249	0.07176851707	0.07977331325	0.09009673052
1250	0.06819501683	0.07895354521	0.06524993722
1251	0.03396651488	0.03486246017	0.03791263389
1252	0.01640070751	0.01645842271	0.02536763666
1253	0.08638096104	0.0893763346	0.09469287616
1254	0.06694386806	0.06007437091	0.0764981434
1255	0.02145297822	0.0248524569	0.03194894509
1256	0.1100920732	0.1099316086	0.1132604415
1257	0.06467289328	0.06024191442	0.07930357507
1258	0.0950449828	0.09403125551	0.0941988363
1259	0.09287645934	0.09241655376	0.09558279843
1260	0.001139874781	0.0008897978124	0.001148874409
1261	0.09845455415	0.1005829089	0.09550900203
1262	0.05738232962	0.04934670913	0.06553387708
1263	0.005871838883	0.0127678914	0.006541171419
1264	0.09099894207	0.08938810521	0.09102425757
1265	0.06132915604	0.06259415361	0.05548284404
1266	0.0153537418	0.03247220393	0.7154983066
1267	0.01247768176	0	0.008321614362
1268	0.0001089918256	5.449591281e-05	0.4
1269	0.0001089918256	5.449591281e-05	0.4
1270	0.1059296721	0.1069647433	0.1146679357
1271	0.01908245031	0.01313732271	0.5380644389
1272	0.1147416872	0.1130031718	0.1203266491
1273	0.01044078875	0.01239504468	0
1274	0.05246294616	0.0627326369	0.05622709354
1275	0.09129568372	0.09019166014	0.0926585281
1276	0.1026262037	0.1014931326	0.1050224326
1277	0.08978933078	0.1016389542	0.1046354677
1278	0.07907810645	0.08731615167	0.0944975406
1279	0.07442115632	0.08439835011	0.07719081519
1280	0.003844572452	0	0
1281	0.1015847603	0.09260419021	0.1089817319
1282	0.01975324906	0.02467774089	0.01425291975
1283	0.09585080009	0.09255694378	0.1015254077
1284	0.02765851304	0.0159990862	0.007483727393
1285	0.0662550413	0.06905957895	0.08320579062
1286	0.0002080071915	0.0001909980826	0.0001680898858
1287	0.1099829935	0.1074180598	0.1123392528
1288	0.06858041838	0.06721709067	0.07136141932
1289	0.03258077432	0.02106388062	1.62886416
1290	0.08931490714	0.08756168533	0.0922679786
1291	0.08777861445	0.08056032551	0.08094194765
1292	0.03225112401	0.04283050725	0.05625102851
1293	0.000659339039	0.0004669458864	0.0009120231139
1294	0.1005175428	0.1002545289	0.0956164417
1295	0.06980698514	0.08386528437	0.07632185424
1296	0.02700337677	0.04731208502	0.0349038157
1297	0.05635202923	0.05968499961	0.05919891017
1298	0.07980840473	0.07501046282	0.08428978207
1299	0.07107150589	0.0710973631	0.07254187947
1300	0.03749012843	0.04725978462	0.05431438678
1301	0.0684031051	0.05684427072	0.05834795431
1302	0.07851826857	0.06452123279	0.07233014315
1303	0.004397814628	0	0
1304	0.08875091402	0.08440356825	0.09557956702
1305	0.08546967948	0.08446060685	0.08369350114
1306	0.08705447661	0.07860305212	0.0798037248
1307	0.06994247932	0.08702455056	0.09208276484
1308	0.07635879962	0.07007445639	0.183617374
1309	0.1009627178	0.1015992917	0.1134146553
1310	0.08626454254	0.08629198404	0.08924298744
1311	0.01006164687	6.811989101e-05	0.9064146235
1312	0.02244199239	0.007491237583	1.007281464
1313	0.03514918943	0.02846286053	0.03786654667
1314	0.1065695226	0.1083309526	0.1121456817
1315	0.01291111189	0	0.007272259101
1316	0.04637096139	0.03689527169	0.257316565
1317	0.0001083681305	8.972362787e-05	1.300149046
1318	0.000413345822	0.0002929155313	1.900112157
1319	0.08739815874	0.08634819348	0.08911421132
1320	0.06613863419	0.07158665167	0.08092853288
1321	0.06641270304	0.07488060981	0.06189203838
1322	0.0767324274	0.08010761275	0.07565275901
1323	0.05988183794	0.06965189462	0.06621829243
1324	0.0922193322	0.09170248668	0.0954796719
1325	0.1056099323	0.08963097812	0.1070812341
1326	0.003236017349	0.02372791114	0
1327	0.06568922693	0.09042598217	0.06938915708
1328	0.05057069176	0.07105034606	0.05805024132
1329	0.03691043957	0.04019057798	0.03626097988
1330	0.006107454411	0.0125455508	0.4155693698
1331	0.01495399778	0.02020043023	0.4182915543
1332	0.07111247722	0.0388337087	0.07314764369
1333	0.02086503526	0.007211267863	1.113077238
1334	0.03600664456	0.03253784285	1.321281748
1335	0.08848542294	0.08877055094	0.08852008251
1336	0.0393376866	0.04144174993	0.5348968009
1337	0.01946091526	0.0002997275204	3.322564503
1338	0.01529725081	0.0003919813157	3.01050944
1339	0.0002662513368	0.0002293074773	1.200155454
1340	0.08001371871	0.06820482989	0.08761929615
1341	0.01123701582	0.02464003837	1.205612796
1342	0.1071436107	0.1067092983	0.1106101831
1343	0.005501091957	0	0
1344	0.07902761424	0.07891883853	0.07919852719
1345	4.768392371e-05	5.449591281e-05	0.4
1346	4.768392371e-05	5.449591281e-05	0.4
1347	0.05039311571	0.05467085315	0.3460557084
1348	0.08990674591	0.09085642601	0.08999812877
1349	0.09660878234	0.09620496443	0.09940870437
1350	0.08830421764	0.08790659211	0.683106294
1351	0.1044249936	0.1043562165	0.1127463133
1352	0.03086368185	0.02431694097	0.9177650165
